CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3872836,3873518,397,423,246,426,1,238
3873518,3872836,397,420,246,426,1,238
3872836,3874422,397,423,246,426,1,238
3874422,3872836,397,420,246,426,1,238
3872836,3874456,397,423,246,426,1,238
3874456,3872836,397,420,246,426,1,238
3872836,3886955,397,423,246,426,1,238
3886955,3872836,398,429,246,426,1,238
3872836,3887836,397,423,246,426,1,238
3887836,3872836,397,423,246,426,1,238
3872836,3889396,397,423,246,426,1,238
3889396,3872836,402,424,246,426,1,238
3872836,3889403,397,423,246,426,1,238
3889403,3872836,402,424,246,426,1,238
3872836,0,397,423,0,0,1,596
0,3872836,0,0,246,426,1,596
3873518,3872836,397,420,246,426,1,241
3872836,3873518,397,423,246,426,1,241
3873518,3874422,397,420,246,426,1,241
3874422,3873518,397,420,246,426,1,241
3873518,3874456,397,420,246,426,1,241
3874456,3873518,397,420,246,426,1,241
3873518,3886955,397,420,246,426,1,241
3886955,3873518,398,429,246,426,1,241
3873518,3887836,397,420,246,426,1,241
3887836,3873518,397,423,246,426,1,241
3873518,3889396,397,420,246,426,1,241
3889396,3873518,402,424,246,426,1,241
3873518,3889403,397,420,246,426,1,241
3889403,3873518,402,424,246,426,1,241
3873518,0,397,420,0,0,1,593
0,3873518,0,0,246,426,1,593
3874422,3872836,397,420,246,426,1,241
3872836,3874422,397,423,246,426,1,241
3874422,3873518,397,420,246,426,1,241
3873518,3874422,397,420,246,426,1,241
3874422,3874456,397,420,246,426,1,241
3874456,3874422,397,420,246,426,1,241
3874422,3886955,397,420,246,426,1,241
3886955,3874422,398,429,246,426,1,241
3874422,3887836,397,420,246,426,1,241
3887836,3874422,397,423,246,426,1,241
3874422,3889396,397,420,246,426,1,241
3889396,3874422,402,424,246,426,1,241
3874422,3889403,397,420,246,426,1,241
3889403,3874422,402,424,246,426,1,241
3874422,0,397,420,0,0,1,593
0,3874422,0,0,246,426,1,593
3874456,3872836,397,420,246,426,1,241
3872836,3874456,397,423,246,426,1,241
3874456,3873518,397,420,246,426,1,241
3873518,3874456,397,420,246,426,1,241
3874456,3874422,397,420,246,426,1,241
3874422,3874456,397,420,246,426,1,241
3874456,3886955,397,420,246,426,1,241
3886955,3874456,398,429,246,426,1,241
3874456,3887836,397,420,246,426,1,241
3887836,3874456,397,423,246,426,1,241
3874456,3889396,397,420,246,426,1,241
3889396,3874456,402,424,246,426,1,241
3874456,3889403,397,420,246,426,1,241
3889403,3874456,402,424,246,426,1,241
3874456,0,397,420,0,0,1,593
0,3874456,0,0,246,426,1,593
3886955,3872836,398,429,246,426,1,234
3872836,3886955,397,423,246,426,1,234
3886955,3873518,398,429,246,426,1,234
3873518,3886955,397,420,246,426,1,234
3886955,3874422,398,429,246,426,1,234
3874422,3886955,397,420,246,426,1,234
3886955,3874456,398,429,246,426,1,234
3874456,3886955,397,420,246,426,1,234
3886955,3887836,398,429,246,426,1,234
3887836,3886955,397,423,246,426,1,234
3886955,3889396,398,429,246,426,1,234
3889396,3886955,402,424,246,426,1,234
3886955,3889403,398,429,246,426,1,234
3889403,3886955,402,424,246,426,1,234
