CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3872724,3879082,361,434,394,402,1,68
3879082,3872724,364,434,390,393,1,68
3872724,3890111,361,434,390,393,1,62
3890111,3872724,361,434,390,393,1,62
3872724,3890201,361,434,390,392,1,63
3890201,3872724,357,434,390,393,1,63
3872724,0,361,434,0,0,1,576
0,3872724,0,0,390,393,1,576
3879082,3872724,364,434,390,393,1,63
3872724,3879082,361,434,394,402,1,63
3879082,3890111,364,434,390,393,1,63
3890111,3879082,361,434,394,402,1,63
3879082,3890201,364,434,390,392,1,64
3890201,3879082,357,434,394,402,1,64
3879082,0,364,434,0,0,1,577
0,3879082,0,0,394,402,1,577
3890111,3872724,361,434,390,393,1,62
3872724,3890111,361,434,390,393,1,62
3890111,3879082,361,434,394,402,1,68
3879082,3890111,364,434,390,393,1,68
3890111,3890201,361,434,390,392,1,63
3890201,3890111,357,434,390,393,1,63
3890111,0,361,434,0,0,1,576
0,3890111,0,0,390,393,1,576
3890201,3872724,357,434,390,393,1,76
3872724,3890201,361,434,390,392,1,76
3890201,3879082,357,434,394,402,1,82
3879082,3890201,364,434,390,392,1,82
3890201,3890111,357,434,390,393,1,76
3890111,3890201,361,434,390,392,1,76
3890201,0,357,434,0,0,1,558
0,3890201,0,0,390,392,1,558
0,3872724,0,0,390,393,1,524
3872724,0,361,434,0,0,1,524
0,3879082,0,0,394,402,1,534
3879082,0,364,434,0,0,1,534
0,3890111,0,0,390,393,1,524
3890111,0,361,434,0,0,1,524
0,3890201,0,0,390,392,1,524
3890201,0,357,434,0,0,1,524
