TP_UDC,DSC_UDC,WIDTH,LENGTH,TARE,CD_FAMILY
8,Pallet 105x105,1.05,1.05,20,1
13,Pallet 120x120,1.23,1.43,40,2
14,Cassa 160x160 new,1.74,1.83,45,2
15,Cav. legno 160x160,0.75,1.7,160,9
16,Cav. legno 120x240,0.75,2.5,170,6
17,Cav. legno 160x320,0.75,3.3,220,3
18,Cav.ferroFST 160x320,0.75,3.31,270,3
1,Pallet Euro 80x120,0.8,1.2,25,1
2,Pallet 100x120,1,1.2,35,1
3,Pallet 122x122,1.22,1.22,20,1
4,Pallet 80X180,0.97,1.88,45,2
6,Pallet 135x320,1.35,3.2,90,3
9,Cassa 80X240,0.96,2.65,90,5
10,Cassa 120X240,1.36,2.64,90,5
11,Cassa 160X320,1.75,3.45,120,3
5,Pallet 71x128,0.71,1.28,10,1
7,Pallet 60X80,0.63,850,10,1
12,Pallet 80x160,0.97,1.68,35,2
21,Cassa 160x320 new,1.75,3.4,140.5,3
22,Cassa 120x280,1.36,3.03,108,3
23,Cassa 120x260,1.36,2.83,102,5
24,Cassa 120x240 new,1.36,2.63,107,5
25,Cassa 80x240 new,0.96,2.62,97,5
26,Cassa 120x120 new,1.35,1.44,70,8
19,Pancone fer. 335x180,1.8,3.35,460,3
28,Benna Type 1 Bema,1.8,3.35,427,3
29,Benna Type 2 System,1,2.3,450,5
31,Cassa 120X120 ribas.,1.35,1.44,50,8
34,Cassa per Spazzole,1.35,1.44,120,1
27,Cassa 80x160 new,0.96,1.826,60,2
32,Pallet 130x190  h23 cm 4 vie,1.3,1.9,80,5
30,Cavalletto WK,0.765,3.3,182,3
33,Cassa Pattume,1.35,1.44,70,1
35,Pallet 900x1900 h231 4 vie,0.9,1.9,70,5
20,Cav.Cima 160x320,0.75,3.39,130.3,3
36,Cassa 120x280 ristr.,1.446,2.916,90,3
37,Cassa 120x300,1.36,3.226,124,3
38,Cav.Cima 160x320 New,0.75,3.39,120,3
39,Cav.Cima 80-120x240,0.75,2.496,92.5,6
40,Cav.Cima 120x280,0.75,2.9,108.5,3
