CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562123490,"3,915,349",5,15,CARICO DA MAG AUTO,1,"3,806,820",64,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,5,10/11/2022 9:58,10/11/2022 10:04,10/11/2022 10:07,3,"1,386,216","1,309,257",0,0,0,0,1,1,752190,RAWTECH RAW-MUD NAT 80X80 RET,30,220,1,10/11/2022 10:06,1,367
2562123426,"3,915,352",5,15,CARICO DA MAG AUTO,1,"3,806,827",64,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,5,10/11/2022 9:59,10/11/2022 10:07,10/11/2022 10:10,2,"1,386,217","1,309,180",0,0,0,0,1,1,742717,LA ROCHE MUD STRUT.B.DRITTI 40X80 RETT,22,240,1,10/11/2022 10:08,1,367
2562123754,"3,914,009",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,806,852",65,390,393,0,0,STOCK,0,-,M3-CL-04,S_CANT,Cantilever M3,-,353,417,957,9/11/2022 18:48,10/11/2022 10:22,10/11/2022 10:23,1,"1,385,973","1,309,550",0,0,0,0,1,1,,,,,,10/11/2022 10:22,0,57
2562123516,"3,915,473",5,15,CARICO DA MAG AUTO,1,"3,806,911",64,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,2,10/11/2022 11:02,10/11/2022 11:03,10/11/2022 11:05,2,"1,386,252","1,309,288",0,0,0,0,1,1,755720,MATIÈRES DE REX GRIS 60X120 RET,31,220,1,10/11/2022 11:04,1,367
2562123558,"3,914,029",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,807,428",65,110,185,0,PRE-BOX-11,PRE_BOX,AREA PRE-BOX PLANT2,3,M3-CL-07,S_CANT,Cantilever M3,-,360,429,947,9/11/2022 18:49,10/11/2022 14:43,10/11/2022 15:21,38,"1,385,998","1,309,328",0,0,0,0,1,1,,,,,,10/11/2022 15:19,35,401
2562124073,"3,916,152",6,60,POSIZIONAMENTO INTERI,1,"3,807,456",63,332,456,0,M3-42B-01,STOCK,PIAZZALE LATO NORD,1,M3-BO-241,S_CA,BOX PRONTI CAMION,13,343,430,0,10/11/2022 15:25,10/11/2022 15:26,10/11/2022 15:29,3,"1,385,920","1,309,891","40,289,259","2,104,644","437,059",0,4,4,769817,REVES DE REX BLEU GLOSSY 60X120 RETT,"1,901",,1,10/11/2022 15:28,2,37
2562124073,"3,916,162",6,60,POSIZIONAMENTO INTERI,1,"3,807,469",63,332,456,0,M3-42B-01,STOCK,PIAZZALE LATO NORD,1,M3-BO-241,S_CA,BOX PRONTI CAMION,13,343,430,0,10/11/2022 15:28,10/11/2022 15:29,10/11/2022 15:32,3,"1,385,920","1,309,891","40,289,259","2,104,644","437,059",0,4,4,769817,REVES DE REX BLEU GLOSSY 60X120 RETT,"1,901",,1,10/11/2022 15:31,1,37
2562124073,"3,916,174",6,60,POSIZIONAMENTO INTERI,1,"3,807,476",63,332,456,0,M3-42B-01,STOCK,PIAZZALE LATO NORD,1,M3-BO-241,S_CA,BOX PRONTI CAMION,13,343,430,0,10/11/2022 15:31,10/11/2022 15:32,10/11/2022 15:35,3,"1,385,920","1,309,891","40,289,259","2,104,644","437,059",0,4,4,769817,REVES DE REX BLEU GLOSSY 60X120 RETT,"1,901",,1,10/11/2022 15:33,1,37
2562124073,"3,913,785",6,60,POSIZIONAMENTO INTERI,1,"3,807,488",63,190,308,0,M0-C68-02,STOCK,PIAZZALE NUOVO,28,M3-BO-241,S_CA,BOX PRONTI CAMION,13,343,430,0,9/11/2022 17:33,10/11/2022 15:35,10/11/2022 15:41,6,"1,385,919","1,309,891","40,289,261","1,735,640","456,605",0,1,1,766330,BIJOUX CALAC ALTISSIMO GLOSSY 60X120 RET,"1,850",,1,10/11/2022 15:38,3,206
2562124073,"3,913,786",6,60,POSIZIONAMENTO INTERI,1,"3,807,509",63,139,308,0,M0-D28-02,STOCK,PIAZZALE NUOVO,28,M3-BO-241,S_CA,BOX PRONTI CAMION,13,343,430,0,9/11/2022 17:33,10/11/2022 15:41,10/11/2022 15:50,9,"1,385,918","1,309,891","40,289,262","1,735,500","436,307",0,1,1,766332,BIJOUX OMBRE CARAVAGE GLOSSY 60X120 RETT,"1,850",,1,10/11/2022 15:48,6,250
