CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3914970,3914981,1,230,246,426,1,278
3914981,3914970,1,230,246,426,1,278
3914970,3913651,1,230,246,426,1,278
3913651,3914970,1,230,246,426,1,278
3914970,3913694,1,230,246,426,1,278
3913694,3914970,1,230,246,426,1,278
3914970,3913983,1,230,246,426,1,278
3913983,3914970,1,230,246,426,1,278
3914970,3912194,1,230,246,426,1,278
3912194,3914970,1,230,246,426,1,278
3914970,3912258,1,230,246,426,1,278
3912258,3914970,1,230,246,426,1,278
3914970,0,1,230,0,0,1,229
0,3914970,0,0,246,426,1,229
3914981,3914970,1,230,246,426,1,278
3914970,3914981,1,230,246,426,1,278
3914981,3913651,1,230,246,426,1,278
3913651,3914981,1,230,246,426,1,278
3914981,3913694,1,230,246,426,1,278
3913694,3914981,1,230,246,426,1,278
3914981,3913983,1,230,246,426,1,278
3913983,3914981,1,230,246,426,1,278
3914981,3912194,1,230,246,426,1,278
3912194,3914981,1,230,246,426,1,278
3914981,3912258,1,230,246,426,1,278
3912258,3914981,1,230,246,426,1,278
3914981,0,1,230,0,0,1,229
0,3914981,0,0,246,426,1,229
3913651,3914970,1,230,246,426,1,278
3914970,3913651,1,230,246,426,1,278
3913651,3914981,1,230,246,426,1,278
3914981,3913651,1,230,246,426,1,278
3913651,3913694,1,230,246,426,1,278
3913694,3913651,1,230,246,426,1,278
3913651,3913983,1,230,246,426,1,278
3913983,3913651,1,230,246,426,1,278
3913651,3912194,1,230,246,426,1,278
3912194,3913651,1,230,246,426,1,278
3913651,3912258,1,230,246,426,1,278
3912258,3913651,1,230,246,426,1,278
3913651,0,1,230,0,0,1,229
0,3913651,0,0,246,426,1,229
3913694,3914970,1,230,246,426,1,278
3914970,3913694,1,230,246,426,1,278
3913694,3914981,1,230,246,426,1,278
3914981,3913694,1,230,246,426,1,278
3913694,3913651,1,230,246,426,1,278
3913651,3913694,1,230,246,426,1,278
3913694,3913983,1,230,246,426,1,278
3913983,3913694,1,230,246,426,1,278
3913694,3912194,1,230,246,426,1,278
3912194,3913694,1,230,246,426,1,278
3913694,3912258,1,230,246,426,1,278
3912258,3913694,1,230,246,426,1,278
3913694,0,1,230,0,0,1,229
0,3913694,0,0,246,426,1,229
3913983,3914970,1,230,246,426,1,278
3914970,3913983,1,230,246,426,1,278
3913983,3914981,1,230,246,426,1,278
3914981,3913983,1,230,246,426,1,278
3913983,3913651,1,230,246,426,1,278
3913651,3913983,1,230,246,426,1,278
3913983,3913694,1,230,246,426,1,278
3913694,3913983,1,230,246,426,1,278
3913983,3912194,1,230,246,426,1,278
3912194,3913983,1,230,246,426,1,278
3913983,3912258,1,230,246,426,1,278
3912258,3913983,1,230,246,426,1,278
3913983,0,1,230,0,0,1,229
0,3913983,0,0,246,426,1,229
3912194,3914970,1,230,246,426,1,278
3914970,3912194,1,230,246,426,1,278
3912194,3914981,1,230,246,426,1,278
3914981,3912194,1,230,246,426,1,278
3912194,3913651,1,230,246,426,1,278
3913651,3912194,1,230,246,426,1,278
3912194,3913694,1,230,246,426,1,278
3913694,3912194,1,230,246,426,1,278
3912194,3913983,1,230,246,426,1,278
3913983,3912194,1,230,246,426,1,278
3912194,3912258,1,230,246,426,1,278
3912258,3912194,1,230,246,426,1,278
3912194,0,1,230,0,0,1,229
0,3912194,0,0,246,426,1,229
3912258,3914970,1,230,246,426,1,278
3914970,3912258,1,230,246,426,1,278
3912258,3914981,1,230,246,426,1,278
3914981,3912258,1,230,246,426,1,278
3912258,3913651,1,230,246,426,1,278
3913651,3912258,1,230,246,426,1,278
3912258,3913694,1,230,246,426,1,278
3913694,3912258,1,230,246,426,1,278
3912258,3913983,1,230,246,426,1,278
3913983,3912258,1,230,246,426,1,278
3912258,3912194,1,230,246,426,1,278
3912194,3912258,1,230,246,426,1,278
3912258,0,1,230,0,0,1,229
0,3912258,0,0,246,426,1,229
0,3914970,0,0,246,426,1,430
3914970,0,1,230,0,0,1,430
0,3914981,0,0,246,426,1,430
3914981,0,1,230,0,0,1,430
0,3913651,0,0,246,426,1,430
3913651,0,1,230,0,0,1,430
0,3913694,0,0,246,426,1,430
3913694,0,1,230,0,0,1,430
0,3913983,0,0,246,426,1,430
3913983,0,1,230,0,0,1,430
0,3912194,0,0,246,426,1,430
3912194,0,1,230,0,0,1,430
0,3912258,0,0,246,426,1,430
3912258,0,1,230,0,0,1,430
