CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562122713,3912387,8,15,CARICO DA MAG AUTO,1,3804016,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0,STOCK,0,-,1,230,2,9/11/2022 9:53:17 AM,9/11/2022 9:54:17 AM,9/11/2022 9:55:48 AM,2,1385506,1308382,0,0,0,0,1,1,765957,ONYX&MORE GOLDEN BLEND SAT 6MM 60X120R,250,460,1,9/11/2022 9:55:01 AM,1,363
2562123088,3912391,8,15,CARICO DA MAG AUTO,1,3804020,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0,STOCK,0,-,1,230,1,9/11/2022 9:55:04 AM,9/11/2022 9:55:51 AM,9/11/2022 9:57:20 AM,1,1385507,1308780,0,0,0,0,1,1,761238,*IGA UNICO GRAU 6MM 60X120 RET,938,760,1,9/11/2022 9:56:27 AM,1,363
2562122642,3912309,6,94,POSIZIONAMENTO DA PREBOX A BDP,1,3804031,65,214,225,0,PRE-BOX-AA,PRE_BOX,AREA PRE-BOX PLANT2,16,M3-BO-24,S_GL,BOX PRONTI GRANDI LASTRE,4,144,391,0,9/11/2022 9:20:15 AM,9/11/2022 9:57:12 AM,9/11/2022 10:02:58 AM,6,1385477,1308306,0,0,0,0,1,1,,,,,,9/11/2022 9:59:51 AM,3,185
2562121493,3912394,8,15,CARICO DA MAG AUTO,1,3804027,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,M3-BO-480,S_CA,BOX PRONTI CAMION,9,401,419,0,9/11/2022 9:56:21 AM,9/11/2022 9:57:26 AM,9/11/2022 9:59:46 AM,2,1385508,1307055,0,0,0,0,1,1,756209,STONES 2.0 ARABESC.WHITE MATTE 80X80 RET,1190,1020,1,9/11/2022 9:57:57 AM,1,197
2562121493,3912401,8,15,CARICO DA MAG AUTO,1,3804038,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,M3-BO-480,S_CA,BOX PRONTI CAMION,9,401,419,0,9/11/2022 9:58:00 AM,9/11/2022 10:01:44 AM,9/11/2022 10:03:38 AM,2,1385510,1307055,0,0,0,0,1,1,756549,STONES 2.0 AR.WHITE MAT.6MM 60X120 RET,938,760,1,9/11/2022 10:02:17 AM,1,197
2562122642,3912310,6,94,POSIZIONAMENTO DA PREBOX A BDP,2,3804061,65,204,225,0,PRE-BOX-AA,PRE_BOX,AREA PRE-BOX PLANT2,13,M3-BO-24,S_GL,BOX PRONTI GRANDI LASTRE,4,144,391,0,9/11/2022 9:20:16 AM,9/11/2022 10:03:00 AM,9/11/2022 10:12:33 AM,10,1385479,1308306,0,0,0,0,3,3,,,,,,9/11/2022 10:10:00 AM,7,185
2562122904,3912405,8,15,CARICO DA MAG AUTO,1,3804043,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0,STOCK,0,-,1,230,5,9/11/2022 10:00:50 AM,9/11/2022 10:03:41 AM,9/11/2022 10:05:46 AM,2,1385511,1308582,0,0,0,0,1,1,757499,CROMATICA COBALTO LUC.6MM 6x24,67,340,1,9/11/2022 10:04:46 AM,1,363
2562121493,3912397,6,60,POSIZIONAMENTO INTERI,1,3804057,24,91,328,0,M0-D88-08,STOCK,PIAZZALE NUOVO,5,M3-BO-480,S_CA,BOX PRONTI CAMION,9,401,419,0,9/11/2022 9:56:34 AM,9/11/2022 10:04:25 AM,9/11/2022 10:10:58 AM,7,1385441,1307055,40284764,1154282,179226,0,11,11,756209,STONES 2.0 ARABESC.WHITE MATTE 80X80 RET,2381,,1,9/11/2022 10:07:48 AM,3,367
2562121493,3912409,8,15,CARICO DA MAG AUTO,1,3804049,34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,M3-BO-480,S_CA,BOX PRONTI CAMION,9,401,419,0,9/11/2022 10:02:20 AM,9/11/2022 10:05:49 AM,9/11/2022 10:08:24 AM,3,1385513,1307055,0,0,0,0,1,1,756248,STONES 2.0 ARABESC.WHITE MATTE 30X60 RET,955,760,1,9/11/2022 10:06:29 AM,1,197
2562123126,3912426,6,60,POSIZIONAMENTO INTERI,1,3804063,58,303,476,0,M3-46A-02,STOCK,PIAZZALE LATO NORD,2,M3-BO-251,S_CA,BOX PRONTI CAMION,18,348,444,0,9/11/2022 10:06:47 AM,9/11/2022 10:09:34 AM,9/11/2022 10:11:46 AM,2,1385512,1308833,40287621,1146747,452250,0,1,1,755727,MATIÈRES DE REX NUAGE 60X60 RET,2786,,1,9/11/2022 10:10:40 AM,1,99
