CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3913882,3913184,1,230,168,257,1,279
3913184,3913882,398,436,246,426,1,279
3913882,3913884,1,230,246,426,1,278
3913884,3913882,1,230,246,426,1,278
3913882,3913923,1,230,246,286,1,240
3913923,3913882,246,315,246,426,1,240
3913882,3913885,1,230,246,426,1,278
3913885,3913882,1,230,246,426,1,278
3913882,3913924,1,230,256,266,1,370
3913924,3913882,246,315,246,426,1,370
3913882,3913988,1,230,168,257,1,279
3913988,3913882,398,436,246,426,1,279
3913882,3913886,1,230,246,426,1,278
3913886,3913882,1,230,246,426,1,278
3913882,3913903,1,230,273,846,1,761
3913903,3913882,217,723,246,426,1,761
3913882,3913888,1,230,246,426,1,278
3913888,3913882,1,230,246,426,1,278
3913882,0,1,230,0,0,1,229
0,3913882,0,0,246,426,1,229
3913184,3913882,398,436,246,426,1,227
3913882,3913184,1,230,168,257,1,227
3913184,3913884,398,436,246,426,1,227
3913884,3913184,1,230,168,257,1,227
3913184,3913923,398,436,246,286,1,267
3913923,3913184,246,315,168,257,1,267
3913184,3913885,398,436,246,426,1,227
3913885,3913184,1,230,168,257,1,227
3913184,3913924,398,436,256,266,1,287
3913924,3913184,246,315,168,257,1,287
3913184,3913988,398,436,168,257,1,354
3913988,3913184,398,436,168,257,1,354
3913184,3913886,398,436,246,426,1,227
3913886,3913184,1,230,168,257,1,227
3913184,3913903,398,436,273,846,1,500
3913903,3913184,217,723,168,257,1,500
3913184,3913888,398,436,246,426,1,227
3913888,3913184,1,230,168,257,1,227
3913184,0,398,436,0,0,1,609
0,3913184,0,0,168,257,1,609
3913884,3913882,1,230,246,426,1,278
3913882,3913884,1,230,246,426,1,278
3913884,3913184,1,230,168,257,1,279
3913184,3913884,398,436,246,426,1,279
3913884,3913923,1,230,246,286,1,240
3913923,3913884,246,315,246,426,1,240
3913884,3913885,1,230,246,426,1,278
3913885,3913884,1,230,246,426,1,278
3913884,3913924,1,230,256,266,1,370
3913924,3913884,246,315,246,426,1,370
3913884,3913988,1,230,168,257,1,279
3913988,3913884,398,436,246,426,1,279
