CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562123675,3913882,5,15,CARICO DA MAG AUTO,1,3805440,34,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,2,9/11/2022 5:55:26 PM,9/11/2022 6:38:28 PM,9/11/2022 6:40:29 PM,2,1385960,1309465,0,0,0,0,1,1,754019,NEUTRA 6.0 05 QUARZO 60X120 RETT,234,460,1,9/11/2022 6:39:39 PM,1,367
2562123237,3913184,6,60,POSIZIONAMENTO INTERI,1,3805445,64,168,257,0,M0-C90-02,STOCK,PIAZZALE NUOVO,18,M3-BO-460,S_CA,BOX PRONTI CAMION,1,398,436,0,9/11/2022 2:11:49 PM,9/11/2022 6:38:37 PM,9/11/2022 6:43:05 PM,4,1385779,1308975,40287824,1177785,464631,0,2,2,757064,FLOWTECH RUSSET NAT.80X80 RET,1997,,1,9/11/2022 6:41:25 PM,3,330
2562123572,3913884,5,15,CARICO DA MAG AUTO,1,3805444,34,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,5,9/11/2022 5:56:33 PM,9/11/2022 6:40:32 PM,9/11/2022 6:42:07 PM,2,1385961,1309344,0,0,0,0,1,1,735638,"VETRO METALLI COBALTO 4,5 mm",19,280,7,9/11/2022 6:41:15 PM,1,367
2562121934,3913923,6,93,POSIZIONAMENTO DA PREBOX A BDP FLORIM STONE,1,3805447,65,246,286,0,PRE-BO-M09,PRE_BOX,AREA PRE-BOX M0,4,M0-BO-03,S_GL,BOX PRONTI CAVALLETTI,4,246,315,0,9/11/2022 6:13:27 PM,9/11/2022 6:40:40 PM,9/11/2022 6:42:48 PM,2,1385945,1307651,0,0,0,0,1,1,,,,,,9/11/2022 6:41:51 PM,1,31
2562123336,3913885,5,15,CARICO DA MAG AUTO,1,3805451,34,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,2,9/11/2022 5:57:49 PM,9/11/2022 6:42:09 PM,9/11/2022 6:43:47 PM,2,1385962,1309097,0,0,0,0,1,1,761182,STONTECH 4.0 STONE_05 40x80 RET,132,400,7,9/11/2022 6:42:50 PM,1,367
2562121934,3913924,6,93,POSIZIONAMENTO DA PREBOX A BDP FLORIM STONE,1,3805454,65,256,266,0,PRE-BO-M13,PRE_BOX,AREA PRE-BOX M0,1,M0-BO-03,S_GL,BOX PRONTI CAVALLETTI,4,246,315,0,9/11/2022 6:13:28 PM,9/11/2022 6:42:49 PM,9/11/2022 6:47:34 PM,5,1385946,1307651,0,0,0,0,1,1,,,,,,9/11/2022 6:44:03 PM,1,64
2562123237,3913988,6,60,POSIZIONAMENTO INTERI,1,3805456,64,168,257,0,M0-C90-02,STOCK,PIAZZALE NUOVO,18,M3-BO-460,S_CA,BOX PRONTI CAMION,1,398,436,0,9/11/2022 6:41:36 PM,9/11/2022 6:43:07 PM,9/11/2022 6:46:38 PM,4,1385779,1308975,40287824,1177785,464631,0,2,2,757064,FLOWTECH RUSSET NAT.80X80 RET,1997,,1,9/11/2022 6:44:43 PM,2,330
2562123515,3913886,5,15,CARICO DA MAG AUTO,1,3805455,34,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,5,9/11/2022 5:59:02 PM,9/11/2022 6:43:49 PM,9/11/2022 6:45:06 PM,1,1385963,1309287,0,0,0,0,1,1,768292,SENSI WHITE LITHOS 60X120 RET,92,340,1,9/11/2022 6:44:15 PM,0,367
2562120263,3913903,6,60,POSIZIONAMENTO INTERI,2,3805459,8,273,846,0,M1-CE-01,STOCK,MAGAZZINO COPERTO,8,M1-BO-181,S_CO,BOX PRONTI CONTAINER,2,217,723,0,9/11/2022 6:04:18 PM,9/11/2022 6:43:52 PM,9/11/2022 6:48:10 PM,4,1385939,1305688,40282566,1728472,461662,0,4,4,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,2304,,4,9/11/2022 6:45:45 PM,2,271
2562122786,3913888,5,15,CARICO DA MAG AUTO,1,3805460,34,246,426,0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,1,230,5,9/11/2022 6:00:15 PM,9/11/2022 6:45:08 PM,9/11/2022 6:46:40 PM,2,1385964,1308450,0,0,0,0,1,1,768292,SENSI WHITE LITHOS 60X120 RET,90,320,1,9/11/2022 6:45:46 PM,1,367
