CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3914900,3914914,1,230,246,426,1,278
3914914,3914900,1,230,246,426,1,278
3914900,3914926,1,230,271,902,1,755
3914926,3914900,236,747,246,426,1,755
3914900,3914010,1,230,186,225,1,184
3914010,3914900,357,417,246,426,1,184
3914900,3911937,1,230,193,217,1,192
3911937,3914900,357,420,246,426,1,192
3914900,3914920,1,230,246,426,1,278
3914920,3914900,1,230,246,426,1,278
3914900,3911946,1,230,110,170,1,0
3911946,3914900,369,408,246,426,1,0
3914900,3914934,1,230,246,426,1,278
3914934,3914900,1,230,246,426,1,278
3914900,3914939,1,230,246,426,1,278
3914939,3914900,1,230,246,426,1,278
3914900,3914943,1,230,246,426,1,278
3914943,3914900,1,230,246,426,1,278
3914900,0,1,230,0,0,1,229
0,3914900,0,0,246,426,1,229
3914914,3914900,1,230,246,426,1,278
3914900,3914914,1,230,246,426,1,278
3914914,3914926,1,230,271,902,1,755
3914926,3914914,236,747,246,426,1,755
3914914,3914010,1,230,186,225,1,184
3914010,3914914,357,417,246,426,1,184
3914914,3911937,1,230,193,217,1,192
3911937,3914914,357,420,246,426,1,192
3914914,3914920,1,230,246,426,1,278
3914920,3914914,1,230,246,426,1,278
3914914,3911946,1,230,110,170,1,0
3911946,3914914,369,408,246,426,1,0
3914914,3914934,1,230,246,426,1,278
3914934,3914914,1,230,246,426,1,278
3914914,3914939,1,230,246,426,1,278
3914939,3914914,1,230,246,426,1,278
3914914,3914943,1,230,246,426,1,278
3914943,3914914,1,230,246,426,1,278
3914914,0,1,230,0,0,1,229
0,3914914,0,0,246,426,1,229
3914926,3914900,236,747,246,426,1,337
3914900,3914926,1,230,271,902,1,337
3914926,3914914,236,747,246,426,1,337
3914914,3914926,1,230,271,902,1,337
3914926,3914010,236,747,186,225,1,566
3914010,3914926,357,417,271,902,1,566
3914926,3911937,236,747,193,217,1,562
3911937,3914926,357,420,271,902,1,562
3914926,3914920,236,747,246,426,1,337
3914920,3914926,1,230,271,902,1,337
3914926,3911946,236,747,110,170,1,0
3911946,3914926,369,408,271,902,1,0
3914926,3914934,236,747,246,426,1,337
3914934,3914926,1,230,271,902,1,337
3914926,3914939,236,747,246,426,1,337
3914939,3914926,1,230,271,902,1,337
3914926,3914943,236,747,246,426,1,337
3914943,3914926,1,230,271,902,1,337
3914926,0,236,747,0,0,1,771
0,3914926,0,0,271,902,1,771
3914010,3914900,357,417,246,426,1,137
3914900,3914010,1,230,186,225,1,137
3914010,3914914,357,417,246,426,1,137
3914914,3914010,1,230,186,225,1,137
3914010,3914926,357,417,271,902,1,489
3914926,3914010,236,747,186,225,1,489
3914010,3911937,357,417,193,217,1,305
3911937,3914010,357,420,186,225,1,305
3914010,3914920,357,417,246,426,1,137
3914920,3914010,1,230,186,225,1,137
3914010,3911946,357,417,110,170,1,0
3911946,3914010,369,408,186,225,1,0
3914010,3914934,357,417,246,426,1,137
3914934,3914010,1,230,186,225,1,137
3914010,3914939,357,417,246,426,1,137
3914939,3914010,1,230,186,225,1,137
3914010,3914943,357,417,246,426,1,137
3914943,3914010,1,230,186,225,1,137
3914010,0,357,417,0,0,1,562
0,3914010,0,0,186,225,1,562
3911937,3914900,357,420,246,426,1,134
3914900,3911937,1,230,193,217,1,134
3911937,3914914,357,420,246,426,1,134
3914914,3911937,1,230,193,217,1,134
3911937,3914926,357,420,271,902,1,486
3914926,3911937,236,747,193,217,1,486
3911937,3914010,357,420,186,225,1,300
3914010,3911937,357,417,193,217,1,300
3911937,3914920,357,420,246,426,1,134
3914920,3911937,1,230,193,217,1,134
3911937,3911946,357,420,110,170,1,0
3911946,3911937,369,408,193,217,1,0
3911937,3914934,357,420,246,426,1,134
3914934,3911937,1,230,193,217,1,134
3911937,3914939,357,420,246,426,1,134
3914939,3911937,1,230,193,217,1,134
3911937,3914943,357,420,246,426,1,134
3914943,3911937,1,230,193,217,1,134
3911937,0,357,420,0,0,1,565
0,3911937,0,0,193,217,1,565
3914920,3914900,1,230,246,426,1,278
3914900,3914920,1,230,246,426,1,278
3914920,3914914,1,230,246,426,1,278
3914914,3914920,1,230,246,426,1,278
3914920,3914926,1,230,271,902,1,755
3914926,3914920,236,747,246,426,1,755
3914920,3914010,1,230,186,225,1,184
3914010,3914920,357,417,246,426,1,184
3914920,3911937,1,230,193,217,1,192
3911937,3914920,357,420,246,426,1,192
3914920,3911946,1,230,110,170,1,0
3911946,3914920,369,408,246,426,1,0
3914920,3914934,1,230,246,426,1,278
3914934,3914920,1,230,246,426,1,278
3914920,3914939,1,230,246,426,1,278
3914939,3914920,1,230,246,426,1,278
3914920,3914943,1,230,246,426,1,278
3914943,3914920,1,230,246,426,1,278
3914920,0,1,230,0,0,1,229
0,3914920,0,0,246,426,1,229
3911946,3914900,369,408,246,426,1,157
3914900,3911946,1,230,110,170,1,157
3911946,3914914,369,408,246,426,1,157
3914914,3911946,1,230,110,170,1,157
3911946,3914926,369,408,271,902,1,501
3914926,3911946,236,747,110,170,1,501
3911946,3914010,369,408,186,225,1,293
3914010,3911946,357,417,110,170,1,293
3911946,3911937,369,408,193,217,1,301
3911937,3911946,357,420,110,170,1,301
3911946,3914920,369,408,246,426,1,157
3914920,3911946,1,230,110,170,1,157
3911946,3914934,369,408,246,426,1,157
3914934,3911946,1,230,110,170,1,157
3911946,3914939,369,408,246,426,1,157
3914939,3911946,1,230,110,170,1,157
3911946,3914943,369,408,246,426,1,157
3914943,3911946,1,230,110,170,1,157
3911946,0,369,408,0,0,1,558
0,3911946,0,0,110,170,1,558
3914934,3914900,1,230,246,426,1,278
3914900,3914934,1,230,246,426,1,278
3914934,3914914,1,230,246,426,1,278
3914914,3914934,1,230,246,426,1,278
3914934,3914926,1,230,271,902,1,755
3914926,3914934,236,747,246,426,1,755
3914934,3914010,1,230,186,225,1,184
3914010,3914934,357,417,246,426,1,184
3914934,3911937,1,230,193,217,1,192
3911937,3914934,357,420,246,426,1,192
3914934,3914920,1,230,246,426,1,278
3914920,3914934,1,230,246,426,1,278
3914934,3911946,1,230,110,170,1,0
3911946,3914934,369,408,246,426,1,0
3914934,3914939,1,230,246,426,1,278
3914939,3914934,1,230,246,426,1,278
3914934,3914943,1,230,246,426,1,278
3914943,3914934,1,230,246,426,1,278
3914934,0,1,230,0,0,1,229
0,3914934,0,0,246,426,1,229
3914939,3914900,1,230,246,426,1,278
3914900,3914939,1,230,246,426,1,278
3914939,3914914,1,230,246,426,1,278
3914914,3914939,1,230,246,426,1,278
3914939,3914926,1,230,271,902,1,755
3914926,3914939,236,747,246,426,1,755
3914939,3914010,1,230,186,225,1,184
3914010,3914939,357,417,246,426,1,184
3914939,3911937,1,230,193,217,1,192
3911937,3914939,357,420,246,426,1,192
3914939,3914920,1,230,246,426,1,278
3914920,3914939,1,230,246,426,1,278
3914939,3911946,1,230,110,170,1,0
3911946,3914939,369,408,246,426,1,0
3914939,3914934,1,230,246,426,1,278
3914934,3914939,1,230,246,426,1,278
3914939,3914943,1,230,246,426,1,278
3914943,3914939,1,230,246,426,1,278
3914939,0,1,230,0,0,1,229
0,3914939,0,0,246,426,1,229
3914943,3914900,1,230,246,426,1,278
3914900,3914943,1,230,246,426,1,278
3914943,3914914,1,230,246,426,1,278
3914914,3914943,1,230,246,426,1,278
3914943,3914926,1,230,271,902,1,755
3914926,3914943,236,747,246,426,1,755
3914943,3914010,1,230,186,225,1,184
3914010,3914943,357,417,246,426,1,184
3914943,3911937,1,230,193,217,1,192
3911937,3914943,357,420,246,426,1,192
3914943,3914920,1,230,246,426,1,278
3914920,3914943,1,230,246,426,1,278
3914943,3911946,1,230,110,170,1,0
3911946,3914943,369,408,246,426,1,0
3914943,3914934,1,230,246,426,1,278
3914934,3914943,1,230,246,426,1,278
3914943,3914939,1,230,246,426,1,278
3914939,3914943,1,230,246,426,1,278
