Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3877517,Service,10.636276110343672,0.0,10.873333333333333,10.873333333333333
1,2,3877517,3877604,Service,10.837205408346938,21.710538741680264,32.52720540834693,10.816666666666666
1,3,3877604,0,Return to Base,10.619532002176735,,,
2,1,0,3877519,Service,10.636276110343672,1.7763568394002505e-15,10.913333333333336,10.913333333333334
2,2,3877519,0,Return to Base,10.636276110343672,,,
3,1,0,3877689,Service,10.619532002176735,3.552713678800501e-15,10.81666666666667,10.816666666666666
3,2,3877689,3877600,Service,10.789763768540611,21.60643043520728,32.46309710187395,10.85666666666667
3,3,3877600,0,Return to Base,10.622322686871223,,,
4,1,0,3877707,Service,10.619532002176735,0.0,10.816666666666666,10.816666666666666
4,2,3877707,3877693,Service,10.770228975679183,21.586895642345834,32.4035623090125,10.816666666666666
4,3,3877693,0,Return to Base,10.619532002176735,,,
