Operator,Task,Start,Finish,Successor
1,3886607,0.0,10.846666666666668,3886619
1,3886619,21.622477011734805,32.46914367840147,3883959
1,3883959,43.25890744694209,54.098907446942086,0
2,3887071,-1.7763568394002505e-15,10.836666666666664,3887052
2,3887052,21.623639750512808,32.460306417179474,3886990
2,3886990,43.247279501025616,54.08394616769228,3886973
2,3886973,64.87091925153842,75.7075859182051,0
3,3887179,3.552713678800501e-15,11.32666666666667,3887164
3,3887164,22.091314272956865,33.41798093962353,3887140
3,3887140,44.18262854591373,55.5092952125804,0
