Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3882185,Service,10.636276110343672,10.636276110343658,21.24960944367699,10.613333333333333
1,2,3882185,0,Return to Base,10.636276110343672,,,
2,1,0,3885345,Service,10.580462416453877,10.580462416453884,21.193795749787217,10.613333333333333
2,2,3885345,3882187,Service,10.51627666848061,31.710072418267814,42.33340575160115,10.623333333333335
2,3,3882187,0,Return to Base,10.602787894009795,,,
3,1,0,3882186,Service,10.608369263398775,10.608369263398771,21.221702596732104,10.613333333333333
3,2,3882186,3882190,Service,10.507904614397143,31.72960721112925,42.33627387779592,10.60666666666667
3,3,3882190,0,Return to Base,10.613950632787754,,,
4,1,0,3887778,Service,10.580462416453877,10.580462416453884,21.193795749787217,10.613333333333333
4,2,3887778,3883314,Service,10.507904614397143,31.70170036418436,42.31503369751769,10.61333333333333
4,3,3883314,0,Return to Base,10.608369263398775,,,
