Operator,Task,Start,Finish,Successor
1,3889478,11.199963284816894,21.253296618150227,3881926
1,3886904,11.19999441863061,21.246661085297276,3889521
1,3881926,31.285403548570475,41.338736881903806,3889559
1,3889559,31.285567109795306,41.335567109795306,3889478
1,3889521,31.28852135571462,41.33852135571462,0
2,3891499,11.19999441863061,21.246661085297276,0
2,3891499,11.19999441863061,21.246661085297276,3881926
2,3881926,31.285403548570475,41.338736881903806,0
3,3894481,11.199994418630606,21.246661085297273,0
3,3894481,11.199994418630606,21.246661085297273,3889559
3,3889559,31.285567109795306,41.335567109795306,0
4,3882087,11.19999441863061,21.24999441863061,3894472
4,3894472,31.291854689047952,41.33852135571462,0
5,3889478,11.199963284816894,21.253296618150227,0
5,3881926,31.285403548570475,41.338736881903806,0
