Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3887124,Service,10.0,10.000000000000004,20.556666666666672,10.556666666666668
1,2,3887124,3883563,Service,10.332091478644285,30.888758145310963,41.24542481197763,10.356666666666666
1,3,3883563,3885445,Service,10.304184631699387,51.549609443677014,61.869609443677014,10.32
1,4,3885445,3880930,Service,10.301393947004897,72.1710033906819,82.52433672401524,10.353333333333339
1,5,3880930,3881384,Service,10.301393947004897,92.82573067102012,103.17239733768679,10.346666666666664
1,6,3881384,3881372,Service,10.304184631699387,113.47658196938619,123.84324863605286,10.366666666666674
1,7,3881372,3888497,Service,10.318138055171836,134.1613866912247,144.51472002455802,10.353333333333325
1,8,3888497,3880123,Service,10.318138055171836,154.83285807972985,165.18285807972984,10.349999999999994
1,9,3880123,3880843,Service,10.304184631699387,175.48704271142924,185.81704271142925,10.330000000000013
1,10,3880843,3879826,Service,10.577671731759388,196.39471444318863,206.8113811098553,10.416666666666657
1,11,3879826,0,Return to Base,10.0,,,
