Operator,Task,Start,Finish,Successor
1,3887140,33.897037688196875,45.22370435486354,3886619
1,3886619,55.98835196115374,66.8350186278204,3883959
1,3883959,77.62478239636101,88.46478239636102,0
2,3886990,12.757196478155919,23.593863144822585,3887071
2,3887071,34.38083622866873,45.21750289533539,3887052
2,3887052,56.004475979181535,66.84114264584821,3886973
2,3886973,77.62811572969434,88.46478239636102,0
3,3886607,33.43548718378062,44.28215385044729,3887179
3,3887179,55.046801456737484,66.37346812340415,3887164
3,3887164,77.13811572969435,88.46478239636102,0
