Operator,Task,Start,Finish,Successor
1,3887071,12.757196478155976,23.59386314482264,3886990
1,3886990,34.380836228668784,45.21750289533545,3886973
1,3886973,56.00447597918159,66.84114264584827,3887052
1,3887052,77.6281157296944,88.46478239636107,0
2,3883959,12.757196478155915,23.597196478155915,3887179
2,3887179,34.36184408444612,45.68851075111279,3887140
2,3887140,56.453158357402984,67.77982502406965,0
3,3886607,12.757196478155976,23.603863144822643,3886619
3,3886619,34.37967348989079,45.226340156557455,3887164
3,3887164,55.99098776284765,67.31765442951432,0
