Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3874600,Service,11.174878256380202,0.0,11.21,11.21
1,2,3874600,3878336,Service,10.764647606290204,21.974647606290198,33.1846476062902,11.21
1,3,3878336,0,Return to Base,11.174878256380202,,,
2,1,0,3878011,Service,11.174878256380202,0.0,11.21,11.21
2,2,3878011,3874733,Service,10.764647606290204,21.974647606290198,33.1846476062902,11.21
2,3,3874733,0,Return to Base,11.174878256380202,,,
3,1,0,3886400,Service,11.174878256380202,0.0,11.21,11.21
3,2,3886400,3874666,Service,10.764647606290204,21.974647606290198,33.1846476062902,11.21
3,3,3874666,0,Return to Base,11.174878256380202,,,
4,1,0,3884295,Service,11.174878256380202,0.0,11.21,11.21
4,2,3884295,3886587,Service,10.764647606290204,21.974647606290198,33.1846476062902,11.21
4,3,3886587,0,Return to Base,11.174878256380202,,,
