Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3911808,Service,11.199994418630611,0.0,10.25,10.25
1,2,3911808,3911987,Service,10.209301352086735,20.459301352086726,30.709301352086726,10.25
1,3,3911987,3912143,Service,10.209301352086735,40.91860270417345,51.16860270417345,10.25
1,4,3912143,3912169,Service,10.209301352086735,61.37790405626018,71.62790405626018,10.25
1,5,3912169,0,Return to Base,11.199994418630611,,,
2,1,0,3913284,Service,11.199994418630611,0.0,10.163333333333334,10.163333333333334
2,2,3913284,3913682,Service,10.053023009195305,20.216356342528634,30.279689675861967,10.063333333333333
2,3,3913682,3912159,Service,10.13395286533551,40.413642541197476,50.57697587453081,10.163333333333334
2,4,3912159,3911795,Service,10.13395286533551,60.71092873986632,70.96092873986632,10.25
2,5,3911795,3912162,Service,10.13395286533551,81.09488160520183,91.25821493853516,10.163333333333327
2,6,3912162,0,Return to Base,11.199994418630611,,,
