Operator,Task,Start,Finish,Successor
1,3913420,-1.7763568394002505e-15,10.496666666666664,3913101
1,3913101,20.795269928977056,31.151936595643726,3913402
1,3913402,41.450539857954126,51.94720652462079,3911705
1,3911705,62.24580978693119,72.60247645359786,3913444
1,3913444,82.90107971590822,93.3977463825749,0
2,3911707,-3.197442310920451e-14,10.496666666666634,3913179
2,3913179,20.795269928977035,31.151936595643704,3913427
2,3913427,41.4505398579541,51.94720652462077,3913086
2,3913086,62.24580978693116,72.60247645359783,3913392
2,3913392,82.90107971590822,93.3977463825749,0
