Operator,Task,Start,Finish,Successor
1,3911753,-1.7763568394002505e-15,10.659999999999998,3911750
1,3911750,21.41069418281759,32.07069418281759,3911727
1,3911727,42.82138836563535,53.018055032302016,3911722
1,3911722,63.182705429276915,73.37937209594358,3911740
1,3911740,83.54402249291849,93.88735582625182,0
2,3911755,0.0,10.66,3911742
2,3911742,21.410694182817757,31.607360849484426,3911733
2,3911733,41.77201124645932,51.96867791312599,3911746
2,3911746,62.133328310100886,72.32999497676755,3912155
2,3912155,82.96348040241672,94.07014706908339,0
