Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3911755,Service,6.199994418630611,0.0,5.66,5.66
1,2,3911755,0,Return to Base,6.199994418630611,,,
2,1,0,3911740,Service,5.965576904293468,0.45346029231754326,5.796793625650877,5.343333333333334
2,2,3911740,0,Return to Base,5.965576904293468,,,
3,1,0,3911750,Service,6.199994418630611,0.0,5.66,5.66
3,2,3911750,0,Return to Base,6.199994418630611,,,
4,1,0,3911722,Service,6.199994418630611,0.0,5.196666666666666,5.196666666666666
4,2,3911722,0,Return to Base,6.199994418630611,,,
5,1,0,3911753,Service,6.199994418630611,0.0,5.66,5.66
5,2,3911753,0,Return to Base,6.199994418630611,,,
37,1,0,3911742,Service,6.199994418630611,0.655194758441815,5.796793625650877,5.141598867209062
37,2,3911742,0,Return to Base,6.199994418630611,,,
38,1,0,3912155,Service,5.0,-1.1723955140041653e-13,5.796793625650878,5.796793625650995
38,2,3912155,0,Return to Base,5.0,,,
39,1,0,3911727,Service,6.199994418630611,0.0,5.141598867209062,5.141598867209062
39,2,3911727,0,Return to Base,6.199994418630611,,,
40,1,0,3911733,Service,6.199994418630611,0.655194758441815,5.796793625650877,5.141598867209062
40,2,3911733,0,Return to Base,6.199994418630611,,,
41,1,0,3911746,Service,6.199994418630611,0.0,5.141598867209062,5.141598867209062
41,2,3911746,0,Return to Base,6.199994418630611,,,
