Operator,Task,Start,Finish,Successor
1,3911722,0.0,5.196666666666666,3911782
1,3911727,0.0,5.196666666666666,3911722
1,3911733,0.0,5.196666666666666,0
1,3911740,0.0,5.343333333333334,3911779
1,3911742,0.0,5.196666666666666,3911666
1,3911746,0.0,5.196666666666666,3911761
1,3911750,0.0,5.66,3911740
1,3911753,0.0,5.66,3911744
1,3911755,0.0,5.66,3911727
1,3911757,0.0,5.66,3911755
1,3911761,0.0,5.66,3911757
1,3911744,0.0,5.343333333333334,3911742
1,3911766,0.0,5.66,3911750
1,3911770,0.0,5.32,3911753
1,3911666,0.0,5.346666666666667,3911746
1,3911772,0.0,5.66,3911795
1,3911779,0.0,5.66,3911770
1,3911794,0.0,5.32,3911766
1,3911782,0.0,5.66,3911772
1,3911795,0.0,5.25,3911733
