Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3912169,Service,6.196176163530863,0.0,5.25,5.25
1,2,3912169,0,Return to Base,6.196176163530863,,,
2,1,0,3911941,Service,6.457665836488773,0.0,5.417763448790307,5.417763448790307
2,2,3911941,0,Return to Base,6.457665836488773,,,
3,1,0,3911908,Service,5.951377320761757,0.0,5.363333333333333,5.363333333333333
3,2,3911908,0,Return to Base,5.951377320761757,,,
4,1,0,3911742,Service,6.196176163530863,0.0,5.196666666666666,5.196666666666666
4,2,3911742,0,Return to Base,6.196176163530863,,,
5,1,0,3911795,Service,6.196176163530863,0.0,5.25,5.25
5,2,3911795,0,Return to Base,6.196176163530863,,,
6,1,0,3911740,Service,5.962504540887625,0.0,5.343333333333334,5.343333333333334
6,2,3911740,0,Return to Base,5.962504540887625,,,
7,1,0,3911753,Service,6.196176163530863,0.0,5.660000000000029,5.660000000000029
7,2,3911753,0,Return to Base,6.196176163530863,,,
8,1,0,3911667,Service,5.842886924534539,0.0,5.296666666666667,5.296666666666667
8,2,3911667,0,Return to Base,5.842886924534539,,,
9,1,0,3911668,Service,5.951377320761757,0.0,5.363333333333317,5.363333333333317
9,2,3911668,0,Return to Base,5.951377320761757,,,
10,1,0,3911727,Service,6.196176163530863,0.0,5.196666666666666,5.196666666666666
10,2,3911727,0,Return to Base,6.196176163530863,,,
11,1,0,3911835,Service,6.196176163530863,0.0,5.729999999999969,5.729999999999969
11,2,3911835,0,Return to Base,6.196176163530863,,,
12,1,0,3911987,Service,6.196176163530863,0.0,5.25,5.25
12,2,3911987,0,Return to Base,6.196176163530863,,,
13,1,0,3911794,Service,6.33526641510422,0.0,5.319999999999987,5.319999999999987
13,2,3911794,0,Return to Base,6.33526641510422,,,
14,1,0,3911675,Service,6.49939291196078,0.0,5.456666666666667,5.456666666666667
14,2,3911675,0,Return to Base,6.49939291196078,,,
15,1,0,3911852,Service,6.376993490576226,0.0,5.369999999999952,5.369999999999952
15,2,3911852,0,Return to Base,6.376993490576226,,,
16,1,0,3911666,Service,5.9597227358561575,0.0,5.346666666666667,5.346666666666667
16,2,3911666,0,Return to Base,5.9597227358561575,,,
17,1,0,3911772,Service,6.196176163530863,0.0,5.66,5.66
17,2,3911772,0,Return to Base,6.196176163530863,,,
18,1,0,3911779,Service,6.196176163530863,0.0,5.66,5.66
18,2,3911779,0,Return to Base,6.196176163530863,,,
19,1,0,3911829,Service,5.9597227358561575,0.0,5.346666666666667,5.346666666666667
19,2,3911829,0,Return to Base,5.9597227358561575,,,
20,1,0,3911757,Service,6.196176163530863,0.0,5.66,5.66
20,2,3911757,0,Return to Base,6.196176163530863,,,
21,1,0,3911834,Service,5.9597227358561575,0.0,5.346666666666667,5.346666666666667
21,2,3911834,0,Return to Base,5.9597227358561575,,,
22,1,0,3911673,Service,5.943031905667355,0.0,5.3,5.3
22,2,3911673,0,Return to Base,5.943031905667355,,,
23,1,0,3912159,Service,6.196176163530863,0.0,5.163333333333333,5.163333333333333
23,2,3912159,0,Return to Base,6.196176163530863,,,
24,1,0,3911761,Service,6.196176163530863,0.0,5.66,5.66
24,2,3911761,0,Return to Base,6.196176163530863,,,
25,1,0,3911755,Service,6.196176163530863,0.0,5.66,5.66
25,2,3911755,0,Return to Base,6.196176163530863,,,
26,1,0,3912139,Service,6.196176163530863,0.0,5.88079295365637,5.88079295365637
26,2,3912139,0,Return to Base,6.196176163530863,,,
27,1,0,3912122,Service,6.196176163530863,0.0,5.88079295365637,5.88079295365637
27,2,3912122,0,Return to Base,6.196176163530863,,,
28,1,0,3911660,Service,5.0,0.08399932800537524,5.88079295365637,5.796793625650995
28,2,3911660,0,Return to Base,5.0,,,
29,1,0,3912136,Service,6.196176163530863,0.0,5.88079295365637,5.88079295365637
29,2,3912136,0,Return to Base,6.196176163530863,,,
30,1,0,3912182,Service,6.196176163530863,0.0,5.88079295365637,5.88079295365637
30,2,3912182,0,Return to Base,6.196176163530863,,,
31,1,0,3911841,Service,6.196176163530863,0.0,5.475196198430413,5.475196198430413
